,document.name,document.creatingUser,document.creationDateTime,document.modifyingUser,document.modifiedDateTime,document.plainTextPath,document.richTextPath,document.guid,Annotator_1,Annotator_0,Annotator_2
0,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,True,True,True
1,0dVc2vyRlt.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://96277CD9-9ECD-4282-A440-1A3391E2EC36.txt,internal://F5E4BCA6-1998-469B-ADE4-A314BD5C1F6E.docx,B9FAE0CA-A4BA-4A21-BCC6-F0F976A01C29,True,True,True
2,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,57AD2F39-1272-474F-A9FC-73866B1BA655,True,True,True
3,0ukelcEjyA.txt,N/A,N/A,N/A,N/A,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,40F884D5-42DA-4416-B782-A5FB41BF2B91,True,True,True
4,0vaAICqxUi.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://D3897191-6056-4C21-8C52-8823BE599D38.txt,internal://D29782C5-1CC3-41B2-B650-EBB6B805C013.docx,F17CF584-08F3-42B9-A622-DD6A7A735813,True,True,True
5,1dK9nA1VpA.txt,N/A,N/A,N/A,N/A,internal://CE00141C-38B7-4317-8D8C-973CFA25B3D5.txt,internal://CDAC9603-F45E-4E5A-9921-32B236B0D9C2.docx,80D18485-ED87-4402-8143-8B72CB13FDFA,True,True,True
6,2I1pDSUuKI.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A696C300-AF11-4B94-A23A-DF43C59D0C89.txt,internal://22D5F2B7-3505-4AF6-AA05-61CEA3C77E9F.docx,A5C3946E-A10E-4234-A4F0-10B2B53E15E4,True,True,True
7,2csTeIEEHO.txt,N/A,N/A,N/A,N/A,internal://9AE8EAA2-8CE6-4B73-B6A4-768BEFFE0283.txt,internal://40EBAFA1-8642-42A7-B76E-1054EAB40862.docx,3DE8A7CA-D76B-4054-B05E-49F4C7591004,True,True,True
8,3KxjNlvJ0z.txt,N/A,N/A,N/A,N/A,internal://F5A18E8F-6BB5-4B56-B645-3DEF227C4AFD.txt,internal://1641376B-D88A-4F4B-AF7F-09D075230CF8.docx,52C9A6DB-25C7-4410-AD26-A2D379DD65CE,True,True,True
9,3N9nlnv8vQ.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://D044A94D-5FF6-4FBE-9D66-C0F4D0FDFE90.txt,internal://8B805806-9B00-4000-B5B5-21FC136CD507.docx,1206153F-8672-47F0-9A82-95F7059AD040,True,True,True
10,3aI7QCdMmp.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://E66D3D3B-2341-4F75-AA75-37CBB744572F.txt,internal://F166D89A-5FD6-429D-B17C-53D285A5DC0B.docx,7BA8E036-8E88-4C77-A642-AC53DCC32201,True,True,True
11,451n3l6h9l.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://93191EA7-81C9-4AD5-96CF-BE01B790CF2C.txt,internal://3E00D8DF-5F95-40EF-86E8-CD59F2555F13.docx,B889885D-0073-4C1F-B748-106B7C01FD10,False,True,False
12,4RgDwDpNx3.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://55D09B97-57F8-4527-8D86-CE66EF252A1D.txt,internal://60584A37-F262-4D95-96D1-B487C64368F1.docx,92EB108E-8771-4747-BD79-4763B23CDC68,True,True,True
13,4fJHoFJuGw.txt,N/A,N/A,N/A,N/A,internal://522CFDA1-F156-4C53-8044-57EA9EA8A7E6.txt,internal://4D77A9C9-63D1-471C-B6D2-3800507AA811.docx,7C3B935E-080C-4601-984E-876439BDD714,True,True,True
14,5KkgnHmjyy.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://BB0FBEA8-3662-4B19-B18A-051AF6D9C9DB.txt,internal://306A4F4C-411D-47F1-9D18-838CC302482C.docx,F8D9823D-9387-4978-BFD0-B7A7438B4D37,True,True,True
15,5f14cjPPt8.txt,N/A,N/A,N/A,N/A,internal://FB802F6F-5840-4312-BFD4-99BC1CB1BC9C.txt,internal://2935D378-60F1-4E47-B800-D7E36A766E0A.docx,3291A16C-6EFD-4928-A215-2D7941713B21,True,True,True
16,5j2cO1KbpN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://29BED27F-8A72-4E3E-890B-E8CBE7EE5257.txt,internal://E2940740-1EE7-472E-8965-72FF6AB84015.docx,29DA97AD-8303-4A2C-9AB9-3F65CE360100,True,True,True
17,5oGw35pB7D.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://7890FAF3-66C2-4C13-9FD9-596E0215F186.txt,internal://714E6BD3-5411-45C6-B18B-D8B768F9E2A0.docx,4F28A660-AF4B-4AB7-AFE0-EDD048C6994B,True,True,True
18,61fPqmTN8w.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://981FA038-4EF9-4694-96EA-B2BD554D4710.txt,internal://C150021C-4BBF-4CF0-816A-06DFDE270052.docx,9CF136E3-23FB-4352-A39E-F56F4E26C61E,True,True,True
19,6GhHUL3ja4.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://E0FD9CF0-CC11-48A1-8863-5B77090235B0.txt,internal://ABA7DB5F-3978-4B0F-8188-E284319BAEFF.docx,C4A483E5-88BE-45C0-A62C-56AAAD9E37E1,True,True,True
20,6Gnq0N3H5k.txt,N/A,N/A,N/A,N/A,internal://20992CEF-BD23-48B7-91C0-CDE8E9C9B8F3.txt,internal://54EE99EA-9E26-41D3-A5AC-85D22E22AF6C.docx,26653AF5-EC53-4BC7-90AC-5EE46056EBBB,True,True,True
21,6SdCx2rR9F.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://0C8A7B2C-A5A0-4BB9-966E-A595CB2AC0CC.txt,internal://9DE589FC-2B57-43C3-B56C-A35DF0A1D678.docx,6944F15A-73A5-4A78-993E-FA410312F536,True,True,True
22,6SmruBFHag.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://6D07D406-5D46-41EC-8803-80C039FBF18F.txt,internal://0CA69FC2-66CA-4EDF-BAE0-B5DAAB539FC1.docx,4C96B800-7D7C-4D34-96E8-37103577BF1F,True,True,True
23,6T6Vt0vKUq.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://EDBC3036-3D9A-43F0-A162-37484B50E04E.txt,internal://92498A69-8809-40E9-9EC9-8947C9001535.docx,A07E5403-1F53-4038-A2D7-9C5643296618,True,True,True
24,6wO85TkyPV.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://4C9C91BB-EEA3-4F39-AD93-1693BFCE3A1B.txt,internal://9369A4AC-D5D9-46D0-96ED-A589720CC5C0.docx,41516AE0-A8A7-4A31-9CBE-7D0BD6C4E5CC,True,True,True
25,7dFlizjIUl.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://49040D26-1982-45EF-A8B8-3C77F3C615A4.txt,internal://3DAFC790-D5B0-4553-B492-6A284D4544AA.docx,E2ABFB70-8D9E-472D-A0E2-33AC55E834AE,True,True,True
26,8GC1AozEzj.txt,N/A,N/A,N/A,N/A,internal://28FED10F-B19B-431D-95F7-238627203BDC.txt,internal://1C8BDBC2-F407-4351-9EE4-70E565D965CA.docx,098FD51B-95B2-48EF-8C03-3ABD233E04B1,False,True,False
27,8nDec8kInh.txt,N/A,N/A,N/A,N/A,internal://979BE83D-9B8E-492B-AE98-429D21781A3D.txt,internal://908702CC-44CE-401E-BA32-2C89EFC6E36A.docx,E4D1C5AD-1075-415E-B30E-DDC1ED3B77E3,False,True,False
28,96NG6VfuP2.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A9A5FCB9-7A80-457E-B968-CDEB088CA398.txt,internal://B33463F3-2BAC-4258-838B-B713312C561A.docx,9B8BB463-6BBD-4719-B405-19BEA46C61B7,True,True,True
29,96QshjMJEe.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://737C6987-C50A-4520-B6D2-4DC132BE972B.txt,internal://4CA5D8CC-67F2-443E-BEC9-7EC662711588.docx,6F4E11AF-190D-4BC0-9B76-D0CDE40BD6E7,True,True,True
30,9PEjQqy5db.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://42042146-8189-444F-9398-95EE5749121A.txt,internal://548F0C50-DD74-457C-8D54-97EB90C83885.docx,3FD36D3E-6C10-4FE8-A873-7900D8720100,True,True,True
31,9SuvG95Mnb.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://1F8377CC-C719-492D-B1FC-7AC93C3D9ED2.txt,internal://58CB31BD-2E6D-48A3-A95F-B35A2DAE9CE3.docx,6823F758-19FD-4A5B-AB13-FC580718D696,True,True,True
32,9aF3PjtySr.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://13E9F7A1-464C-4EE1-B8F3-85F9708494FD.txt,internal://4B5A3108-BC4D-4C6A-873E-F1B559078171.docx,F141B0CC-AD08-4B3F-BD68-477E44A79281,True,True,True
33,9xAV0vn4CG.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://DFC8BCCE-DA14-4CA3-ACF4-7549666D47C0.txt,internal://A0286391-06BF-4441-B308-E01F98A6089E.docx,14262289-AB0D-4C8E-9F64-9A9218B3875B,True,True,True
