,direction,originGUID,name,targetGUID,guid
0,OneWay,5C681144-BD56-4A7F-A712-E467E695400B,Memo-Quotation Relation,C8B2EB7C-7B20-4026-9355-D24FAB320713,D90571D4-E1FF-457F-8F91-559CED68A8D2
1,OneWay,5C681144-BD56-4A7F-A712-E467E695400B,Memo-Quotation Relation,157DA91E-E42F-4819-B5AE-CFA2E745F453,49DD69B8-766D-41CA-A166-14050198A7EB
2,OneWay,1CABD34F-822F-48D9-9EE6-0D2F451C4D0E,Memo-Quotation Relation,B0054253-AEC4-4C78-92F0-CD66F8789A05,37C5059B-0482-4A35-BE99-CC8B9F40CDAC
