,guid,name
0,C32A2BD5-537F-4838-8B17-DF9EFBAFDF4B,ATLAS.ti
1,AA481761-C551-492F-A858-E02C6EE27326,Annotator_2
2,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,Annotator_3
3,57500D78-CB6B-4955-9A3C-4A3940F6263A,Annotator_0
4,22E636BC-B569-422A-AE7A-993AD0ED5EFE,Annotator_1
