,guid,name,MemberSource.targetGUIDs,MemberCode.targetGUIDs
0,1C988748-B5B1-4F25-9833-9E5683D556D2,not_tutorial,"['798D2E97-E69E-433E-81C1-D057208F82C5', '4F28A660-AF4B-4AB7-AFE0-EDD048C6994B', '393A8459-6C70-4647-B8AD-2AE1075AC26B', 'A07E5403-1F53-4038-A2D7-9C5643296618', 'E776C1AA-6A3C-4E9D-8074-0381D7D5116D', 'F56A9BA5-3BA4-4A9E-A4FD-4DF104D886AF', '8C784349-1148-4208-9F4C-F9266264ED62', 'A5C3946E-A10E-4234-A4F0-10B2B53E15E4', '59715879-D6C6-4910-885D-1C7B4EC9B7FA', '27DC4F94-58F0-42C3-BC70-9C468305E403', '6C1A5433-2BBC-43E5-85D8-808D98DDD7DF', 'E93C4538-800B-4934-842A-03CB82849132', '56F7D99A-3607-4F25-938E-EF767159F9AC', '000D67B0-9297-4C78-AD41-137F1D23775B', 'DC13EC19-B13F-4F5F-9566-2183A8B7647E', 'C1C826C9-3E42-4ED4-B988-59D6ECDD4CD4', 'E57F4F6D-4ACC-42E2-9640-66C9BC8F0C48', '9B930F72-104D-40C4-B4F4-BE0DEE16AD97', 'A7253B71-1FC3-40A0-A157-EFDD0D5C83BE', 'A119D2D2-B828-47F8-BE89-E232541F0FAA', 'FBB7B701-6113-467B-A364-93715BDE7AD4', '89855B95-D17D-48AC-82A0-1189917216A9', '352A2568-8654-474C-849F-55FC26EF2C54', '4B5D0235-1F5C-4AE7-B2EC-A6BF3A222F73', '862F277A-AEB9-4D41-8ECD-C52BDAC40185', 'FD493EBB-6D73-46AD-8EF4-A450D9BF43D4', '2D85160F-A1FF-42CD-863A-ABBC1E4CE7DE', '7DEA65FB-9222-41BF-A469-0700F00A3189', '332B44AA-419A-4E04-AA18-7D3E35DDFE8D', '4F171E10-7BB5-4BF2-9F6F-E2E6B2BFCD4B', '6DD76CF5-7884-4D90-9AA4-265830908C44', 'B889885D-0073-4C1F-B748-106B7C01FD10', '352A5351-C417-44A4-9B5C-89C769EC5E4A', '6F4E11AF-190D-4BC0-9B76-D0CDE40BD6E7', 'F8D9823D-9387-4978-BFD0-B7A7438B4D37', 'DBA46B71-8A8F-4DE4-A0B1-FE24B7D83476', 'F17CF584-08F3-42B9-A622-DD6A7A735813', '29DA97AD-8303-4A2C-9AB9-3F65CE360100', '8CD0D14F-654B-45AF-BD75-C4B322758F18', 'F6BE7DE6-1120-48B0-B4DA-2ABC5461970B', 'CF04AA02-D86C-42F4-8CFC-540F798577FA', '14262289-AB0D-4C8E-9F64-9A9218B3875B', 'C73014D5-B889-44FB-BC9B-6ACA3BFCF880', 'CED7A4C6-6108-4E6E-93BA-BD1A68F43B75', '9FEE31B1-0FB0-4766-B1AE-D5C3DE17E37E', 'CDFDEB13-C98D-4725-B0A4-C8CDAE997E48', 'C38255AD-22F1-408A-9FA7-1E1B231D2473', '2C87E586-B15E-430A-A07F-541AEBF0F837', '8D4760A2-FC96-4C47-B2DE-EEC9385D57AB', '1B3DEDC2-64D9-4EB0-B145-93DCFAA58945', '92EB108E-8771-4747-BD79-4763B23CDC68', '3C038E07-3004-40B2-92B5-D3BCF936C742', '83ED0126-7F98-4539-84EF-84C1ECD04286', 'A8BE28C9-D442-4FB9-B1D6-1A115B3B6809', '6944F15A-73A5-4A78-993E-FA410312F536', '5C0AD415-10CE-422B-9730-0312C1DFC789', '3E0D2FE2-267D-439B-81AB-9425A4E27992', 'BB780D5C-B3A9-454C-885F-CBC2CCB1E1E2', '46DC5E71-F7B4-4523-97E3-E01C66EECC1A', '9B8BB463-6BBD-4719-B405-19BEA46C61B7', 'B9FAE0CA-A4BA-4A21-BCC6-F0F976A01C29', 'BACD10A7-59E9-428B-A8EE-225997511D71', '059698B3-3B64-4F7C-BBE5-67391B19429D', '7B0502A6-924B-42E6-96B0-BF018F6B4E13', 'C050E7FA-FA25-4495-AFF0-2961F77C2F97', 'BCE33E9A-850A-477E-BC87-BC254538C248', '3D252C04-9142-4778-8FB8-771A3421FDC7', 'A64BFDFF-64AF-4D74-9B3C-6390FB3A2018', 'ED43FAB1-3C2B-4C77-9AF6-EFDBD696EDE7', 'EF933865-8574-43B2-B2BF-9004A5DF914A', '0F900119-1F43-4324-A3D5-337E460A5DC3', '5CA96B2F-63D5-484B-8CE5-89DEF6037FDD', 'E1E4B097-A23D-4487-9EFD-97AAA3D3BB2D', '6A1032DB-55DB-49ED-8B04-89401185E5E3', '374B3450-0714-4DCA-AD3F-7D724799F7BB']",N/A
1,BBAF681D-0022-403D-A393-D6E9FE57E557,tutorial,"['A2EA8C93-EFDD-4752-8EE2-F70AB19D8E1B', '8562351A-1062-4420-9598-18808232EB74', '151A8A7B-7ACB-4286-9EE3-67A17FD79F8E', 'DC255287-092E-441A-BE3B-E0DE88FBF6E7', '21CD61AB-E2BE-44EB-AE5F-AF7A3CD74A31', 'E266595E-8846-4BB3-904F-A818FDD5DC0B']",N/A
2,950DB84E-E1ED-4CB8-B519-2DCD01BA00AA,Make request,N/A,"['5BA47239-2ED6-447E-8476-C2D85F4F5B8B', 'FF9A0AB3-3FDA-4EA2-907D-792F183109FC', '6D27B9AA-1730-4B59-9A06-4F700FCDDABD', 'A6018163-9B36-4CB4-AD3D-32B48238B2EB', 'AF54E626-5DB3-4DC7-86BB-2595F87B171C', 'B8E7DC44-543D-43C7-94F9-549CA3CC1B6A']"
3,874CEE7D-3B13-4F99-9187-5334945637FA,Ask question,N/A,"['4FF70B3A-7C4C-41F7-8588-46D728150616', '820D1EF9-CEE5-48A0-959F-4EEC7973D3B2', '3EE7B6B2-7D7A-410B-A647-DD3BE0C8FB1C', 'AF54E626-5DB3-4DC7-86BB-2595F87B171C', 'FF9A0AB3-3FDA-4EA2-907D-792F183109FC', 'B9D21ADA-4B70-4294-BA8C-4B6EC19F4A74', 'FC4651D6-27F7-46CE-B171-988BD1F2AD2D', 'EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C', '6C367D66-7EBE-4C5C-BD16-7D332FA53A55', 'FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB', 'A6018163-9B36-4CB4-AD3D-32B48238B2EB', 'BFD873C7-3D7A-421E-9E25-7C0E38009C2D']"
4,58CDFD2C-1CD4-4C0B-B4D0-60D1751A7F59,Provide information,N/A,"['820D1EF9-CEE5-48A0-959F-4EEC7973D3B2', 'A64C5184-4DB7-4263-A5FF-C342F2ECD671', '8A2434C0-CAD2-42B7-8438-73E9066B7EC5', '7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D', 'B9D21ADA-4B70-4294-BA8C-4B6EC19F4A74', 'EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C', 'FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB', 'F5118719-52BC-4694-928B-6618419F596B', 'FC4651D6-27F7-46CE-B171-988BD1F2AD2D', 'C3888D97-94AA-4521-BAAA-F1F6AB2CF96A', '47A85B93-33D7-403D-A0AD-E2396DDC0474', 'BFD873C7-3D7A-421E-9E25-7C0E38009C2D', 'AE184BD2-6DF4-492B-B4FE-F7D446C30B51', 'E35A8596-D7AB-4540-918D-BF869846C5CB', '07E06FC1-375D-4486-987E-3822A943D48F']"
5,EC005CBC-7EC7-41A8-A831-F44FE83028D9,specificity,N/A,['CB8DBBE2-071E-45CA-A11B-7B41E1EC8EE5']
