,direction,originGUID,name,targetGUID,guid
0,OneWay,47B70C37-7A7F-496B-9142-BF61F52A0A17,Memo-Quotation Relation,0C38A578-D661-44F6-B100-72C8FDECB6BC,EDCC1122-B24A-454A-B422-2C375A06324D
1,OneWay,1CABD34F-822F-48D9-9EE6-0D2F451C4D0E,Memo-Quotation Relation,B0054253-AEC4-4C78-92F0-CD66F8789A05,37C5059B-0482-4A35-BE99-CC8B9F40CDAC
