,guid,name,MemberSource.targetGUIDs,MemberCode.targetGUIDs
0,466D0492-CED2-4E19-A1CB-3CE0F76CC59F,not tutorial,"['41516AE0-A8A7-4A31-9CBE-7D0BD6C4E5CC', 'A87B5D5D-52D4-4AE7-B738-9EC2C9E3C59D', 'F50A16A4-3E61-4093-89D6-4B11DB180F7E', '8B137104-BEBC-44FD-ACFB-5A59191CB42F', '1F50D632-D2AE-47D6-80E1-30E90DA0BAC2', 'DF66A3F6-3991-4AF0-8800-9BCFAB58C131', 'CA6E9205-F920-47BC-B8D0-B4774140B306', 'C9E07FCD-49AA-4FE0-A812-78FCCBB59201', '5845AC5F-2252-4A95-905E-2B73F7364A49', '467AB414-3182-4B94-9454-E79BE3D18E8C', '3FD36D3E-6C10-4FE8-A873-7900D8720100', 'A2EE8A19-6B01-487B-A5EB-218A9479F7FF', '26C0B131-74AD-4D40-B699-B583EB63C1DC', '7A097B04-0528-428A-9908-6B360F0125C2', 'B11CBB4C-D72A-4734-B2D5-48871E25428F', '7BA8E036-8E88-4C77-A642-AC53DCC32201', 'F6C207E3-A9A1-478E-A828-CF75EECCB176', '576126A3-C1A2-4D48-AA91-715C2829FE42', 'E9B817B8-C44E-46A1-A8D9-5A77853607FE', 'BB2AB017-DA16-4579-A5AD-06151355814C', 'D12A1DA9-2AD8-47C0-965B-51FA0FED0A9C', 'B38AB1D9-A62C-4201-9D92-4C8E637BC3E0', '26185C8C-8379-47BD-B0BD-D200C272DC76', '2E02CBE4-6F74-4C95-9D90-29AD9BD6B5CE', 'EE308489-DEA0-4BD8-A736-AE9944E3298D', 'F141B0CC-AD08-4B3F-BD68-477E44A79281', '5C136BCF-3235-46BA-8F49-E749858E08CE', 'D4712C1F-8341-498D-AEC9-D1BB100A19DA', 'A13550B9-F492-47F4-BCAF-1076F6C02DA1', '69BC1F4B-DBC3-46CB-B8A0-CF07EDE74E2A', '5E2978EC-6C87-4ABE-A4E8-3A51BB3BC34E', 'A11D9B74-2C02-4CB1-A9D5-415DD6DB5538', '997BD9CF-1F7E-46A4-9CA8-ABF8F82E1C3F', 'F3197BBF-6D31-49DF-A0AB-983C53A05499', 'F5041742-611E-4FE1-9582-5D6A228A5152', '39E0CA3C-DAD5-4B20-9138-1BC56B66AF0B', 'E979CC51-D90F-49A8-83F9-8C8154B37C13', '4C96B800-7D7C-4D34-96E8-37103577BF1F', '83841FF2-2687-4B10-AC91-B7EC758B5BBE', '535C9CFC-667B-478E-971E-881083D8F7BD', '5A095E4E-ABDC-4385-816D-12DAD907E734', 'E2ABFB70-8D9E-472D-A0E2-33AC55E834AE', '762FA705-0101-4928-87F1-A00D6A98B71B', '3C66D10B-848F-4EB9-AE98-30192EC19A65', 'EAB68843-A7EA-4B57-AB23-FFBAB6566BBE', '7F122494-9569-4D9F-BE17-B7FAD41FF0DE', '0D14A35F-EE26-4699-A39F-91CB3382F565', 'A9B0C578-729D-4F0C-AB4F-17687CC15F91', '1206153F-8672-47F0-9A82-95F7059AD040', '8DC29786-02E9-4570-87C8-3B246B6CB94F', '1D973037-9172-479B-865F-4ED40DA71962', 'EECE8AE2-190D-456C-88BA-5EED6CDDBB1D', 'CC9E792D-1688-4F73-B2B3-EA3FB3289DFC', 'D563B569-51E5-4443-AA74-9AAFC78B856E', '3AFBBE42-5EFA-4613-A629-A4977FD78E9B', '6977191D-B2F2-4059-8D1F-0B6A05CDE7E7', '5A106ED5-0CDA-4D9F-B658-1DC6D71890FA', 'C55B4CB6-77BF-4F3F-B10D-92B426B7B87F', '270F853D-9EE6-4F65-B043-BDB29874ECA8', 'AC0CC2AF-DE21-4E45-B4DE-540386C6C44C', 'AE2DC17C-BCA9-44D9-9183-79054B52B860', 'E673F08F-10FC-433C-88B5-AFAE9CC14CC6', '2002EFD9-57CC-478B-B717-B7150A9A5426', '73630670-7BCC-4759-ACB6-5C2E47CAF155', '80586580-D101-4498-A333-F23A478099F3', 'E138AB03-C719-452A-87EF-8665759459F6', 'FCD6F68F-6B91-4337-8135-718FECD9BE9D', '858C0A50-0AE1-4664-897C-0DE8996B0389', 'BA43CC6F-565D-4D50-BAB5-DF29CC4C1996', 'E39FD7A4-C63A-476A-B848-F9E505ED1333', '4EEAB994-FCE1-48B9-AAD7-2C31C88589FA', 'B449451F-11C1-42AD-B0DE-88D706A86D0C', '6F93AD3F-4980-44F6-A920-CEB61396F0F9', '7FF9B490-66D6-42A7-A6B6-6B6384A45E6D', '31D55D7E-4799-49C2-BFA5-B59223FCCE53', 'E8EA35BB-BFD5-42A9-B9A8-075226159BA1', 'A2F0EA54-49E8-4907-99CE-607FEA0314BC', '6823F758-19FD-4A5B-AB13-FC580718D696', 'FD6DF50C-3DF1-405E-AA6C-A94A6C0533EF', 'C7BD9778-F57F-4E6C-9917-F5FEF2A6C39B', '13C37FDB-0BC0-405F-A271-BEBFB52C9F49', '57AD2F39-1272-474F-A9FC-73866B1BA655', '45CD198C-105E-434F-846E-FD454E3A78F4', '8562351A-1062-4420-9598-18808232EB74', '708A7EBA-6504-44E7-BD4B-FE8D2B13E070', '9CF136E3-23FB-4352-A39E-F56F4E26C61E', '27FDB197-CB05-4CAD-B53C-2A49636208FA', '0790DE31-A702-4777-B9E8-9AF0F763921F', 'C4A483E5-88BE-45C0-A62C-56AAAD9E37E1', '3E775B4B-6222-4AEB-892F-5CCF0A4805CB', 'E25BF5AD-A36E-4922-A4FE-851B83FAA27B', '5BCD38E9-F2E8-42FB-8467-21491604E642', '19A73E5D-9461-45CF-9F59-78D1A6C03AAF', '144835D3-FCC4-4687-9310-372E75D25963', '9C8EB707-B196-4E11-91E1-9E23227EB12E', '31F8AA7C-E466-4ECF-BA37-A40A3DD9C1C9', '1306EB22-A8D7-4CA1-891B-88B39D84D4CF', 'CC7272F6-1ADB-4FBE-92D7-E5E9D4737AB6', '84DA70A0-62C7-4EAF-9DA9-C022D04337F8', 'D43B71C4-AE72-41C1-8AD2-64D076850487', '57CA3945-9C68-4BC3-B61A-29A68DA079D0']",N/A
1,AE8C710E-4871-464F-B059-319112EF0F52,tutorial,"['A2EA8C93-EFDD-4752-8EE2-F70AB19D8E1B', 'DC255287-092E-441A-BE3B-E0DE88FBF6E7', 'E266595E-8846-4BB3-904F-A818FDD5DC0B', '151A8A7B-7ACB-4286-9EE3-67A17FD79F8E', '21CD61AB-E2BE-44EB-AE5F-AF7A3CD74A31']",N/A
2,950DB84E-E1ED-4CB8-B519-2DCD01BA00AA,Make request,N/A,"['A6018163-9B36-4CB4-AD3D-32B48238B2EB', '5BA47239-2ED6-447E-8476-C2D85F4F5B8B', 'AF54E626-5DB3-4DC7-86BB-2595F87B171C', 'B8E7DC44-543D-43C7-94F9-549CA3CC1B6A', 'FF9A0AB3-3FDA-4EA2-907D-792F183109FC', '6D27B9AA-1730-4B59-9A06-4F700FCDDABD']"
3,874CEE7D-3B13-4F99-9187-5334945637FA,Ask question,N/A,"['FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB', 'FC4651D6-27F7-46CE-B171-988BD1F2AD2D', '6C367D66-7EBE-4C5C-BD16-7D332FA53A55', 'A6018163-9B36-4CB4-AD3D-32B48238B2EB', 'FF9A0AB3-3FDA-4EA2-907D-792F183109FC', '820D1EF9-CEE5-48A0-959F-4EEC7973D3B2', 'AF54E626-5DB3-4DC7-86BB-2595F87B171C', '3EE7B6B2-7D7A-410B-A647-DD3BE0C8FB1C', '4FF70B3A-7C4C-41F7-8588-46D728150616', 'EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C', 'BFD873C7-3D7A-421E-9E25-7C0E38009C2D', 'B9D21ADA-4B70-4294-BA8C-4B6EC19F4A74']"
4,58CDFD2C-1CD4-4C0B-B4D0-60D1751A7F59,Provide information,N/A,"['B9D21ADA-4B70-4294-BA8C-4B6EC19F4A74', 'E35A8596-D7AB-4540-918D-BF869846C5CB', 'FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB', 'FC4651D6-27F7-46CE-B171-988BD1F2AD2D', '8A2434C0-CAD2-42B7-8438-73E9066B7EC5', 'F5118719-52BC-4694-928B-6618419F596B', 'AE184BD2-6DF4-492B-B4FE-F7D446C30B51', '820D1EF9-CEE5-48A0-959F-4EEC7973D3B2', '07E06FC1-375D-4486-987E-3822A943D48F', '7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D', 'C3888D97-94AA-4521-BAAA-F1F6AB2CF96A', 'EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C', '47A85B93-33D7-403D-A0AD-E2396DDC0474', 'BFD873C7-3D7A-421E-9E25-7C0E38009C2D', 'A64C5184-4DB7-4263-A5FF-C342F2ECD671']"
