,creatingUser,creationDateTime,modifyingUser,name,modifiedDateTime,guid,PlainTextContent
0,57500D78-CB6B-4955-9A3C-4A3940F6263A,2024-01-08T17:39:10Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,Not specified requirements,2024-01-08T17:39:31Z,47B70C37-7A7F-496B-9142-BF61F52A0A17,Not Specified Requirements
1,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T16:03:44Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,suggestions as questions (under explanations/help umbrella) vs actual questions under the questions umbrella,2023-07-12T16:05:46Z,1CABD34F-822F-48D9-9EE6-0D2F451C4D0E,I&apos;m pretty sure this counts as a question not a suggestion
