PV,Document Number,Document Name,Due Date:,Annotator_0,Annotator_1,Annotator_2,Number of Requests,IRR (avg)
3,72,o6Ic9dp5O5.txt,4/24,TRUE,TRUE,TRUE,1,0.62
3,73,o9yFUUEhys.txt,5/22,TRUE,TRUE,TRUE,1,0.66
3,74,oE2jfe4wIr.txt,5/22,TRUE,TRUE,TRUE,1,0.66
3,78,pIJxekdKUU.txt,5/22,TRUE,TRUE,TRUE,1,0.76
3,79,PttugHGtsT.txt,5/22,TRUE,TRUE,TRUE,2,0.6
3,80,Py0LDeq9Fn.txt,5/22,TRUE,TRUE,TRUE,1,0.61
3,81,QBqEkkfh0N.txt,5/22,TRUE,TRUE,TRUE,1,1
3,82,qDgBDpoQ7x.txt,5/22,TRUE,TRUE,TRUE,1,0.74
3,88,R7ghrADaMf.txt,5/22,TRUE,TRUE,TRUE,1,0.96
3,90,SfUOswpMVT.txt,5/22,TRUE,TRUE,TRUE,1,0.7
3,91,SnHdzR6C2E.txt,5/22,TRUE,TRUE,TRUE,1,0.911
3,94,tuhRw4C4Po.txt,5/22,TRUE,TRUE,TRUE,1,0.75
3,95,Tw8SjgKHkE.txt,5/22,TRUE,TRUE,TRUE,1,0.93
3,97,UaMcw4PLym.txt,5/22,TRUE,TRUE,TRUE,1,0.91
3,85,Qvina6Aln9.txt,5/22,TRUE,TRUE,TRUE,1,0.74
3,101,wffOOxAT2N.txt,5/22,TRUE,TRUE,TRUE,1,0.65
4,3,1dK9nA1VpA.txt,5/22,TRUE,TRUE,TRUE,1,
4,47,dGw500Ha7A.txt,5/22,TRUE,TRUE,TRUE,1,
4,1,0ukelcEjyA.txt,5/15,TRUE,TRUE,TRUE,1,
4,5,2csTeIEEHO.txt,5/15,TRUE,TRUE,TRUE,2,
4,7,3KxjNlvJ0z.txt,5/15,TRUE,TRUE,TRUE,1,
4,8,4fJHoFJuGw.txt,5/15,TRUE,TRUE,TRUE,1,
4,10,5f14cjPPt8.txt,5/15,TRUE,TRUE,TRUE,1,
4,14,6Gnq0N3H5k.txt,5/15,TRUE,TRUE,TRUE,3,
4,37,bUsO4vo2zB.txt,5/15,TRUE,TRUE,FALSE,1,
4,40,Cc0mS3ewCT.txt,5/15,TRUE,TRUE,FALSE,1,
4,18,8GC1AozEzj.txt,,TRUE,TRUE,FALSE,1,
4,19,,5/15,TRUE,FALSE,FALSE,1,
4,29,,5/15,TRUE,FALSE,FALSE,1,
4,30,,5/15,TRUE,FALSE,FALSE,2,
4,33,bbtqlQeMsN.txt,5/15,TRUE,TRUE,FALSE,1,
4,44,D1a7om29AG.txt,5/15,TRUE,TRUE,FALSE,1,
,,,,TRUE,FALSE,FALSE,,
,,8nDec8kInh.txt,,TRUE,TRUE,,,
,,lG75Qwus9f.txt,,TRUE,TRUE,,,
,,an4Ezv2tyQ.txt,,TRUE,TRUE,,,
,,aQ1EhH8Ckb.txt,,TRUE,TRUE,,,
,TOTAL,103,,,,,,0.682
